,index,address/city,address/community,address/neighborhood,address/state,address/streetAddress,address/subdivision,address/zipcode,bathrooms,bedrooms,currency,description,latitude,livingArea,longitude,price,url,yearBuilt,zestmate,zestmate_rent,monthly_cost,monthly_cash_flow,yearly_return,school,school_sum
10,16,Rosenberg,,,TX,4508 Coopers Hill Trl,,77471,3.0,4.0,USD,"Come check out your dream home nestled on a spacious lot in Briarwood Crossing. This 2-story property boasts a premium elevation, metal balusters, media room, game room, and study with French doors. Create chef-inspired dishes in the kitchen, complete with granite counter tops, upgraded appliances, stainless steel undermount sink, and 42"" cabinets. Fall in love with the spacious covered patio, perfect for both gatherings and relaxation. Community amenities include a 5-acre park, recreation area with splash pad, swimming pool, picnic area, and green belts with walking paths. Well-situated near Hwy 59 and the Grand Parkway with easy access to the greater Houston area.",29.494279861450195,2891.0,-95.81900787353516,271435,https://www.zillow.com/homedetails/4508-Coopers-Hill-Trl-Rosenberg-TX-77471/251441280_zpid/,2018.0,,,,,,,
11,17,Needville,,,TX,6143 Kamas Ln,,77461,,3.0,USD,"This 1220 square foot vacant land home has 3 bedrooms and 0.0 bathrooms. This home is located at 6143 Kamas Ln, Needville, TX 77461.",29.468172073364254,1220.0,-95.8131332397461,1079032,https://www.zillow.com/homedetails/6143-Kamas-Ln-Needville-TX-77461/122516481_zpid/,1948.0,,,,,,,
12,18,Beasley,,,TX,7910 Kovar Rd,Sunfield Estates,77417,2.0,3.0,USD,"The ultimate single story open concept three bedroom plan designed to Wow! you. The family and kitchen/breakfast area is open the rear of the home providing fantastic views. Custom architectural details, such as tray ceilings, abound in this incredible floorplan. Add the optional enormous covered patio and exterior fireplace to create an amazing outdoor retreat.",29.49939346313477,2121.0,-95.9382553100586,373003,https://www.zillow.com/homedetails/7910-Kovar-Rd-Beasley-TX-77417/2076893514_zpid/,2020.0,,,,,,,
13,19,Needville,,,TX,12008 Padon Rd,,77461,3.0,3.0,USD,"RUSTIC COUNTRY CHARMER!!!  This Ranch Style 2,387 sq foot home has 3 bedroom/2.5 baths with an office that could be used for a 4th bedroom and is located on 6.9+/- acres in Needville.  No HOA/Restrictions - bring your livestock and horses.  There is a custom built dog run with roof for your dogs.  Open floor plan is great for entertaining.  The property also has an attached oversized 2-car garage plus a large shop/barn with concrete floor and a carport for additional storage.  Don't miss this opportunity to move out to the country - easy commute to Hwy 59 or Grand Parkway.",29.379728317260746,2387.0,-95.79107666015624,549900,https://www.zillow.com/homedetails/12008-Padon-Rd-Needville-TX-77461/122503222_zpid/,2000.0,,,,,,,
14,20,Rosenberg,,,TX,2635 Ridgeback Dr,,77471,2.0,3.0,USD,"Find everything you've been looking for in this beautiful Foxwood Builders home in the serene community of Fairpark Village. Nestled on a spacious premium lot, the property boasts a brick elevation, high ceilings, faux wood blinds, a tankless water heater, and a covered patio. Whip up a feast in the kitchen, fully equipped with granite countertops, a tile backsplash, and 42"" upper cabinets. The tranquil primary suite includes a walk-in closet, dual vanities, and an oversized shower. Located off Hwy 59 and Hwy 36, residents enjoy easy access to a variety of shopping centers and restaurants at Sugar Land Town Center. Schools in the area are zoned to the acclaimed Lamar Consolidated ISD. Don't wait - call today for more information!",29.50824546813965,1612.0,-95.82550048828124,231355,https://www.zillow.com/homedetails/2635-Ridgeback-Dr-Rosenberg-TX-77471/2076911782_zpid/,2020.0,,,,,,,
15,21,Rosenberg,,,TX,4614 Coopers Hill Trl,,77471,2.0,3.0,USD,"3 bedroom 2 bath is located in desirable community of Briarwood Crossing.  Beautiful granite countertops, gas cooktop, Energy Star appliances.  Covered patio.  Area amenities include 5-acre park, recreation area with splash pad.  Easy access to SH 36 and US 69.  Contact us for a showing.  Living room, dining room and baby room drapes not included.  Washer and dryer not included.",29.49289512634277,1774.0,-95.81816864013672,239900,https://www.zillow.com/homedetails/4614-Coopers-Hill-Trl-Rosenberg-TX-77471/251431853_zpid/,2018.0,,,,,,,
16,22,Rosenberg,,,TX,4702 Monarch Bend Ln,,77471,2.0,3.0,USD,"Beautiful new community with modern farmhouse designs near the Fort Bend County Fair Grounds with large 60' homesites conveniently located just minutes away from Seabourne County Park, Hwy. 36, and Hwy. 59. Abundant shopping is just minutes away in nearby downtown Rosenberg and Richmond. This light and bright popular open concept floor plan feature a 10' ceiling throughout including the garage. Upgrades include granite kitchen counters with stainless steel kitchen appliances and under-cabinet lighting; extensive ceramic tile flooring; full gutters; window blinds; sprinkler system. Large backyard with a gas line to the Covered Patio. Note: Home is under construction, as such, photos are REPRESENTATIVE of the plan. Selection and finishes will vary. For more info, contact Chesmar Homes in Seabourne Landing. ARPIL 2021 estimated completion.",29.51461410522461,2230.0,-95.7997589111328,283215,https://www.zillow.com/homedetails/4702-Monarch-Bend-Ln-Rosenberg-TX-77471/305293531_zpid/,2020.0,,,,,,,
17,23,Rosenberg,,,TX,2711 Vail St,,77471,2.0,3.0,USD,"Rare find!  This cozy one-story 3-bedroom, 2-bath home built in 1975 is nestled in a country setting and sits on close to an acre of land.  It is great for any family that wants to make a home their own.  Recent updates include the front bathroom remodeled, recent roof, recent front windows, bay windows in the back of home have been replaced as double-pane windows.  The home comes with a pump house with a well and a septic tank recently cleaned.  The home has a detached garage and the yard is chain-linked fenced in.   Do not miss your chance to see this home and schedule an appointment today!  (trailer and deck not included in sale).",29.50168609619141,1697.0,-95.8199462890625,260000,https://www.zillow.com/homedetails/2711-Vail-St-Rosenberg-TX-77471/27528184_zpid/,1975.0,,,,,,,
18,24,Rosenberg,,,TX,4719 Wheel Wright Trl,,77471,3.0,4.0,USD,"BACK ON THE MARKET! This home is a great starter home or investment property. Located close to HWY 59 & 99 this home is easily accessible to shops, entrainment & dining. Schools are within Fort Bend ISD. Schedule your showing today or tell a friend or family member as this house will look great for the Holidays.",29.49297523498535,2075.0,-95.81477355957031,239900,https://www.zillow.com/homedetails/4719-Wheel-Wright-Trl-Rosenberg-TX-77471/125470631_zpid/,2016.0,,,,,,,
19,26,Needville,,,TX,3003 Richmond St,,77461,1.0,2.0,USD,"Great opportunity to own an older home in downtown Needville. New carpet and flooring, interior has fresh paint. Minutes away from Highway 36 and short drive to Rosenberg or Brazos Town Center. Within walking distance of the post office and downtown Needville. Large 0.3258 acre lot (per CAD). Room to add a storage building or shop of your choice if you  desire.",29.40223503112793,876.0,-95.83795928955078,119900,https://www.zillow.com/homedetails/3003-Richmond-St-Needville-TX-77461/27533381_zpid/,1920.0,,,,,,,
20,27,Rosenberg,,,TX,4635 Bluestem Prairie Dr,Seabourne Landing,77471,2.0,3.0,USD,"Settle into one of HistoryMaker Homes' new single-family homes in Rosenberg, Texas, in Seabourne Landing, and experience the area's Historic Downtown District and vibrant arts scene! Rosenberg is a charming, state-designated cultural district, bursting at the seams with economic, commercial, and residential growth.Moving into Seabourne Landing grants you access to all Rosenberg has to offer, including Main Street's restaurants, theaters, artists, musicians, and the town's Railroad Museum. Rosenberg is proud to host annual events such as a spring and autumn arts festival, the Wine Stomp, and Christmas lighting events. Once you explore all of downtown's retail shops and restaurants, you'll find plenty to do at nearby entertainment hot spots like the Brazos Town Center, Riverpark Shopping Center, and the Smart Financial Centere at Sugar Land. With features like the annual County Fair, Constellation Field, and Brazos Bend State Park, the entirety of Fort Bend County has its own unique flair that locals love and tourists crave.Seabourne Landing's location is ideal. Major employers, such as Schlumberger, United Airlines, MD Anderson Cancer Center, and Exxon Mobil are a short commute away, thanks to this neighborhood's proximity to Highway 59. In addition, Katy, Pearland, and downtown Houston are all within 45 minutes of the community. Award-winning Lamar Consolidated ISD serves residents of Seabourne Landing, where students will attend Meyer Elementary School, Navarro Middle School, and B.F. Terry High School. With a student-first mentality, this HEB Excellence-in-Education school district has also been named to the Texas Comptroller's Honors Circle for financial and academic superiority.Don't let this opportunity pass you by - live affordably in the flourishing city of Rosenberg with HistoryMaker Homes at Seabourne Landing. Contact us to see our available floorplans and learn more about how we can help build your new home!",29.51509094238281,1697.0,-95.79898071289062,269395,https://www.zillow.com/homedetails/4635-Bluestem-Prairie-Dr-Rosenberg-TX-77471/305293562_zpid/,2021.0,,,,,,,
21,28,Rosenberg,,,TX,4818 Windy Poplar Trl,,77471,4.0,4.0,USD,"You cannot miss this beautiful Briarwood Homes situated in the desirable Briarwood Crossing community. This gorgeous 4-sided brick property boasts a premium elevation, high ceilings, tile flooring, faux wood blinds, wrought iron spindles, a tankless water heater, a 36"" stone-surround fireplace in the open great room, a study with French doors, and a covered patio. The island kitchen is fully equipped with granite countertops, stainless steel appliances, and 42"" upper cabinets. Take a well-deserved rest in the spa-like primary suite, complete with a walk-in closet, dual vanities, a tub, and a separate shower. Community comforts include a 5-acre park, pool, walking trails, and a recreation area with a splash pad. Commuters enjoy convenient access to Hwy 59 and the Grand Parkway. Nearby schools are zoned to the highly-acclaimed Lamar Consolidated ISD. Call today to schedule a private showing!",29.49076843261719,2765.0,-95.81686401367188,328820,https://www.zillow.com/homedetails/4818-Windy-Poplar-Trl-Rosenberg-TX-77471/2077053302_zpid/,2020.0,,,,,,,
22,29,Rosenberg,,,TX,4703 Seabourne Landing Dr,Seabourne Landing,77471,2.0,3.0,USD,"Plan #1520Single-story ; 3 bedroom ; 2 baths ; Flex Room ; 2-car attached garage ; covered patio. Spacious Family gathering area with island Kitchen and Casual Dining area. Private Master-suite features Master bath with double sinks, shower and walk-in closet. Garden tub option available. Bedroom 3/study option. Centrally located Flex Room. Optional extension available for Patio. Optional Garage side extension available.*Photos are representative of the floor plan, selection and finishes may vary. Contact the community New Home Consultant for more details.*",29.5146598815918,1871.0,-95.80025482177734,270140,https://www.zillow.com/homedetails/4703-Seabourne-Landing-Dr-Rosenberg-TX-77471/305293522_zpid/,2021.0,,,,,,,
23,31,Needville,,,TX,12401 Zamanek Rd,,77461,3.0,4.0,USD,"Country Farm House with 4 bedrooms and 2.5 bath, located on 2 +/- acres in Needville!  Beautiful mature oak trees spread throughout the property give beauty to this home.  Located just minutes from Needville Schools and major freeways for easy access to Richmond/Rosenberg, Sugarland/Houston.  No restrictions, spacious yard, perfect for country living! Ready for your updates!  Schedule your tour today!",29.39734268188477,1854.0,-95.76173400878906,229900,https://www.zillow.com/homedetails/12401-Zamanek-Rd-Needville-TX-77461/27533797_zpid/,1967.0,,,,,,,
24,33,Needville,,,TX,6615 Mildred Rd,,77461,4.0,4.0,USD,"Nice home in Needville on 2 acres of property with and abundant amount of mature trees. This home is ready for your updates and improvements, if any. It has a nice big kitchen with an opening into the living area with a wood burning fireplace. The primary bedroom and bath is set off on the back end of the house away from the three others. Jack and Jill bath for the two front bedrooms and a separate bath for the other bedroom. A very nice and quiet area just outside of the city but offers an easy commute into town. Zoned to Needville ISD. Come make this place home.",29.43219947814941,2331.0,-95.84436798095705,300000,https://www.zillow.com/homedetails/6615-Mildred-Rd-Needville-TX-77461/27533881_zpid/,1978.0,,,,,,,
25,34,Needville,,,TX,12440 Old Needville Fairchild Rd,,77461,2.0,4.0,USD,"Duplex completed in 2015 and each side has 3 bedrooms and 2 full bathrooms as well as a front and back porch.  Beautiful laminate flooring, granite countertops, and modern light fixtures make these units very attractive for tenants.  1800 sq ft  3/2 barndominium completed in 2017.  Huge open concept living, dining, and kitchen area with a walk-in pantry!  The island kitchen very convenient for a small group or a larger gathering. Master bedroom has beautiful sliding barn doors to add a finishing touch to the look and feel.  The 12' wide front porch covers the entire front expanse of the building.  The 3000 sq ft metal sided building located at the back of the property has endless possibilities.  It currently has a 1 br. 1 ba apartment with a living area and kitchenette.  It also has  (2) 10' X 15'  individual access storage rooms that can be rented to tenants or others.  The back part of the building has a 20' X 60' workshop area.  The building is wired for 3 phase electric as well.",29.40470695495605,4738.0,-95.8330307006836,700000,https://www.zillow.com/homedetails/12440-Old-Needville-Fairchild-Rd-Needville-TX-77461/176570611_zpid/,2015.0,,,,,,,
26,35,Rosenberg,,,TX,4710 Monarch Bend Ln,,77471,3.0,4.0,USD,"Beautiful new community with modern farmhouse designs near the Fort Bend County Fair Grounds with large 60' home sites conveniently located just minutes away from Seabourne County Park, Hwy. 36, and Hwy. 59. Abundant shopping is just minutes away in nearby downtown Rosenberg and Richmond. This light and bright popular open concept floor plan feature 10' ceiling throughout including the garage. Upgrades include granite Kitchen counters with stainless steel kitchen appliances and under-cabinet lighting; extensive ceramic tile flooring; full gutters; window blinds; sprinkler system. Large backyard with a gas line to the Covered Patio.  Home is under construction. As such, photos are REPRESENTATIVE and NOT of the actual home.  For more information, contact Chesmar Homes in Seabourne Landing. MARCH 2021 estimated completion.",29.51428413391113,2636.0,-95.7997589111328,307815,https://www.zillow.com/homedetails/4710-Monarch-Bend-Ln-Rosenberg-TX-77471/305293533_zpid/,2020.0,,,,,,,
27,36,Richmond,,,TX,4602 Meadowbend Dr,,77469,5.0,6.0,USD,"CUSTOM BUILT single story home with 4 bedrooms, 3 full baths, study & 2 car garage.  The MAIN HOME features granite countertops, tile floors, fireplace, crown molding, giant custom shower in primary bath, indoor utility room, pet condo, 24 camera security system with DVR. GUEST HOUSE features 2 large bedrooms, full bath, living room, huge utility room, breakfast area, kitchen, exercise room and extra large front porch.  Home has an extra wide driveway, custom iron/wood fence with driveway gate, 10x16 detached workshop, 25x26 outdoor living area with beautiful outdoor kitchen featuring granite countertops, refrigerator, gas grill, hibachi, cooktop, a/c & heat, sliding barn doors, outdoor theatre with surround sound. The 1 acre property has a large saltwater pool with waterfall, outdoor gazebo, fire pit, paved walking/jogging trail, crossfit/workout station, and outdoor half bath.  GET OUT OF THAT COOKIE CUTTER HOME RIGHT ON TOP OF YOUR NEIGHBOR AND MOVE INTO THIS PRIVATE MINI RESORT.",29.50958251953125,4230.0,-95.7903289794922,725000,https://www.zillow.com/homedetails/4602-Meadowbend-Dr-Richmond-TX-77469/125560462_zpid/,2014.0,,,,,,,
28,37,Needville,,,TX,9335 Williams School Rd,,77461,2.0,2.0,USD,"Excellence from the front gate to the back fence! CF Farms is a World class equestrian property that's been associated with some of the industries top trainers. The 1,520 Sq. ft. home includes 2 Bedrooms, 1 1/2 Baths and features an Open concept Living, Kitchen & Dining area with attention to detail throughout. A 50' x 75' awning separates the home & Equine area. The equine facilities & amenities include a 20,000 +/- Sq. Ft. engineered clearspan Lighted Arena with offset railing, 32 skylights & fitted screens on each end. The 7,200 +/- Sq. ft. Stable area includes 28 Stables with 3-4 wash bays, med/vet area, kitchen, office, laundry room, restroom, tack area with custom lockers & feed room. Grounds include 3 Round Pens, 16 Paddocks, stocked Catfish pond, Scattered Live Oaks, Hay field and turnout area. Gated entry with custom gates, electric opener and stone columns. Must see property! Call for showings! ( 7 Additional acres and home available)",29.41468048095703,1520.0,-95.86528778076172,1379000,https://www.zillow.com/homedetails/9335-Williams-School-Rd-Needville-TX-77461/251445330_zpid/,2003.0,,,,,,,
29,38,Rosenberg,,,TX,4706 Monarch Bend Ln,Seabourne Landing,77471,2.0,3.0,USD,"Plan #1520Single-story ; 3 bedroom ; 2 baths ; Flex Room ; 2-car attached garage ; covered patio. Spacious Family gathering area with island Kitchen and Casual Dining area. Private Master-suite features Master bath with double sinks, shower and walk-in closet. Garden tub option available. Bedroom 3/study option. Centrally located Flex Room. Optional extension available for Patio. Optional Garage side extension available.*Photos are representative of the floor plan, selection and finishes may vary. Contact the community New Home Consultant for more details.*",29.51445007324219,1871.0,-95.7997589111328,273240,https://www.zillow.com/homedetails/4706-Monarch-Bend-Ln-Rosenberg-TX-77471/305293532_zpid/,2021.0,,,,,,,
30,39,Rosenberg,,,TX,4627 Seabourne Landing Dr,,77471,3.0,4.0,USD,"Beautiful new community with modern farmhouse designs near the Fort Bend County Fair Grounds with large 60' homesites conveniently located just minutes away from Seabourne County Park, Hwy. 36, and Hwy. 59. Abundant shopping is just minutes away in nearby downtown Rosenberg and Richmond. This light and bright popular open concept floor plan feature a 10' ceiling throughout including the garage. Upgrades include granite kitchen counters with stainless steel kitchen appliances and under-cabinet lighting; extensive ceramic tile flooring; full gutters; window blinds; sprinkler system. Large backyard with a gas line to the Covered Patio. The home is under construction. As such, photos are REPRESENTATIVE of the floorplan/home and are NOT of the actual home. Selections and features will vary. For more information, contact Chesmar Homes in Seabourne Landing. MARCH 2021 estimated completion.",29.51531982421875,2366.0,-95.80021667480469,310940,https://www.zillow.com/homedetails/4627-Seabourne-Landing-Dr-Rosenberg-TX-77471/305293526_zpid/,2020.0,,,,,,,
31,40,Needville,,,TX,11309 Fannin Trail Ct,Tejas Trails,77461,3.0,4.0,USD,"Nestled in the countryside of Needville, TX, Tejas Trails offers an assortment of distinct new home plans featuring oversized homesites. Enjoy being in the acclaimed Needville ISD and miles from the big city amenities like Brazos Town Center. Offered By: K. Hovnanian of Houston II, L.L.C. The Margaret offers:  Access dining room from foyer opening to kitchen. Spacious kitchen with island adjacent to dining area. Open great room accented with fireplace. Large owner's suite with attached sitting room. Covered rear patio encourages outdoor living. Attached tandem 3-car garage.",29.41460227966309,2946.0,-95.81631469726562,389990,https://www.zillow.com/community/tejas-trails/2079044998_zpid/,2021.0,,,,,,,
32,41,Needville,,,TX,11701 Joyce Ln,,77461,3.0,3.0,USD,"Gorgeous custom home situated on 3+/- secluded acres within minutes to Needville Schools, Downtown Needville, food establishments, and shopping. Interior features include: Gleaming wood tile floors, formal dining with chair rail and crown moulding, office/study with built in double desks and storage closet, spacious living room with stone/brick design fireplace that provides the focal point in this space. This home has an amazing kitchen!  There is elegant granite counters, double ovens, pot filler, separate beverage cooler, built-in wine cabinet, and walk in pantry. All rooms are generous in size with the Primary having a huge walk-in closet with built in dresser. The Gameroom and Media space are upstairs as well as the additional bedrooms.  Exterior features include: 3 car garage, Covered patio with full outdoor kitchen, shower, and fireplace. In addition, there is a 40x30 shop w/12 ft lean-to that can house a boat/RV, smokehouse, shed for cattle, and fenced pasture. No restrictions.",29.37499237060547,3695.0,-95.77682495117188,579900,https://www.zillow.com/homedetails/11701-Joyce-Ln-Needville-TX-77461/176791268_zpid/,2015.0,,,,,,,
33,43,Needville,,,TX,11226 Seguin Trail Ct,Tejas Trails,77461,4.0,5.0,USD,"Nestled in the countryside of Needville, TX, Tejas Trails offers an assortment of distinct new home plans featuring oversized homesites. Enjoy being in the acclaimed Needville ISD and miles from the big city amenities like Brazos Town Center. Offered By: K. Hovnanian of Houston II, L.L.C. The Bella II offers:  Spacious kitchen has ample storage and island overlooking great room. Elegant dining room off foyer with access to kitchen. Open great room with fireplace option. Downstairs owner's suite with oversized walk-in closet. Convenient downstairs laundry room and powder room. Large loft space and optional media room, perfect for entertaining. Attached 2-car garage.",29.416465759277344,3034.0,-95.8184814453125,367990,https://www.zillow.com/community/tejas-trails/2079044984_zpid/,2021.0,,,,,,,
34,44,Needville,,,TX,11315 Seguin Trail Ct,Tejas Trails,77461,4.0,5.0,USD,"Nestled in the countryside of Needville, TX, Tejas Trails offers an assortment of distinct new home plans featuring oversized homesites. Enjoy being in the acclaimed Needville ISD and miles from the big city amenities like Brazos Town Center. Offered By: K. Hovnanian of Houston II, L.L.C. The Monaco III offers:  Convenient home office tucked off foyer. Spacious kitchen overlooking great room with optional fireplace. Cozy dining area off kitchen with access to covered patio. Elegant downstairs owner's suite with large walk-in closet. Lovely owner's bath with soaking tub with double sinks. Large upstairs loft, ideal for game night. Attached 2-car garage.",29.41512680053711,2731.0,-95.81842803955078,367990,https://www.zillow.com/community/tejas-trails/2079044968_zpid/,2021.0,,,,,,,
35,45,Needville,,,TX,11214 Seguin Trail Ct,Tejas Trails,77461,4.0,5.0,USD,"Nestled in the countryside of Needville, TX, Tejas Trails offers an assortment of distinct new home plans featuring oversized homesites. Enjoy being in the acclaimed Needville ISD and miles from the big city amenities like Brazos Town Center. Offered By: K. Hovnanian of Houston II, L.L.C. The Leo offers:  Spacious kitchen open to expansive great room. Private home office off entry, perfect for working from home. Large owner's suite with huge walk-in closet. Second floor loft, ideal for family game night. Convenient laundry room off the attached two-car garage.",29.416879653930664,3211.0,-95.8180160522461,392990,https://www.zillow.com/community/tejas-trails/2079044988_zpid/,2021.0,,,,,,,
36,46,Needville,,,TX,11333 Fannin Trail Ct,Tejas Trails,77461,4.0,5.0,USD,"Nestled in the countryside of Needville, TX, Tejas Trails offers an assortment of distinct new home plans featuring oversized homesites. Enjoy being in the acclaimed Needville ISD and miles from the big city amenities like Brazos Town Center. Offered By: K. Hovnanian of Houston II, L.L.C. The Bella II offers:  Spacious kitchen has ample storage and island overlooking great room. Elegant dining room off foyer with access to kitchen. Open great room with fireplace option. Downstairs owner's suite with oversized walk-in closet. Convenient downstairs laundry room and powder room. Large loft space and optional media room, perfect for entertaining. Attached 2-car garage.",29.41373634338379,3034.0,-95.8172378540039,367990,https://www.zillow.com/community/tejas-trails/2079044970_zpid/,2021.0,,,,,,,
